date,sleep_hours,study_hours,screen_time_hours,exercise_minutes,water_glasses,mood_1_10,productivity_1_10
2025-10-09,7.3,3.5,3.59,6.0,7,8,9.1
2025-10-10,5.96,3.52,6.24,40.0,5,4,5.0
2025-10-11,7.75,5.57,2.7,21.0,7,5,10.0
2025-10-12,7.94,2.51,5.45,30.0,9,7,7.8
2025-10-13,5.05,2.39,1.48,40.0,4,8,7.1
2025-10-14,5.7,2.02,3.5,39.0,9,5,5.6
2025-10-15,7.13,3.74,4.24,43.0,7,5,8.1
2025-10-16,6.68,4.35,4.88,28.0,9,9,10.0
2025-10-17,6.98,2.86,5.07,22.0,8,9,8.3
2025-10-18,6.15,1.99,5.19,28.0,7,7,5.5
2025-10-19,7.88,2.01,3.48,0.0,6,6,6.5
2025-10-20,7.78,3.78,3.31,1.0,8,6,9.0
2025-10-21,7.07,3.89,5.29,4.0,4,7,7.4
2025-10-22,8.13,3.65,3.71,10.0,8,7,9.6
2025-10-23,7.47,2.2,2.09,38.0,4,5,6.9
2025-10-24,6.14,3.28,2.3,12.0,8,4,6.8
2025-10-25,7.37,3.14,2.62,22.0,8,4,7.7
2025-10-26,6.04,3.26,4.75,56.0,4,9,8.1
2025-10-27,7.88,4.05,4.21,23.0,9,6,9.6
2025-10-28,6.95,3.27,5.04,45.0,6,6,7.4
2025-10-29,6.82,3.81,3.36,11.0,9,6,8.7
2025-10-30,6.32,3.08,4.24,26.0,4,8,7.3
2025-10-31,8.22,3.35,4.94,11.0,5,4,6.6
2025-11-01,6.85,3.76,3.54,23.0,7,4,7.4
2025-11-02,6.57,1.25,4.69,47.0,5,5,4.2
2025-11-03,6.65,2.62,3.01,0.0,6,6,6.5
2025-11-04,7.53,2.44,3.46,39.0,8,8,8.9
2025-11-05,7.37,2.23,3.43,35.0,5,6,6.9
